seed,n_stations,init_cost,sa_cost,baseline_cost,impr_vs_baseline_pct,impr_vs_init_pct,accepts,iters,sa_wall_s,base_wall_s,best_order,config
515,3,5.8685,4.7738,5.4445,12.32,18.65,87,150,45.29,3.59,conveyor_2|conveyor_3|conveyor_1,sa_s515_n3.yaml
516,3,5.3521,4.9147,5.8157,15.49,8.17,70,150,63.06,2.48,conveyor_1|conveyor_2|conveyor_3,sa_s516_n3.yaml
517,3,5.3773,4.8564,5.1339,5.41,9.69,78,150,50.25,7.62,conveyor_1|conveyor_3|conveyor_2,sa_s517_n3.yaml
518,3,5.17,4.9006,5.6736,13.62,5.21,92,150,44.58,6.74,conveyor_1|conveyor_2|conveyor_3,sa_s518_n3.yaml
519,3,5.6677,5.0509,5.1584,2.08,10.88,69,150,60.04,8.68,conveyor_1|conveyor_3|conveyor_2,sa_s519_n3.yaml
520,3,5.4704,5.3261,5.4971,3.11,2.64,51,150,62.58,5.9,conveyor_1|conveyor_2|conveyor_3,sa_s520_n3.yaml
521,3,5.5277,5.0015,5.5209,9.41,9.52,70,150,80.62,3.89,conveyor_1|conveyor_2|conveyor_3,sa_s521_n3.yaml
522,3,5.1204,4.8788,5.5353,11.86,4.72,88,150,86.31,4.88,conveyor_1|conveyor_2|conveyor_3,sa_s522_n3.yaml
523,3,5.4819,5.1269,5.5963,8.39,6.48,55,150,56.51,4.78,conveyor_1|conveyor_2|conveyor_3,sa_s523_n3.yaml
524,3,5.2218,5.0512,5.161,2.13,3.27,71,150,77.08,6.96,conveyor_1|conveyor_3|conveyor_2,sa_s524_n3.yaml
525,3,5.8028,5.3363,5.1757,-3.1,8.04,66,150,38.29,6.74,conveyor_2|conveyor_1|conveyor_3,sa_s525_n3.yaml
526,3,5.1733,4.8668,5.1185,4.92,5.92,87,150,63.24,5.81,conveyor_1|conveyor_2|conveyor_3,sa_s526_n3.yaml
527,3,5.2906,5.1621,5.4601,5.46,2.43,71,150,40.07,6.87,conveyor_1|conveyor_2|conveyor_3,sa_s527_n3.yaml
528,3,5.0775,5.0775,6.0941,16.68,0.0,72,150,82.44,5.31,conveyor_1|conveyor_2|conveyor_3,sa_s528_n3.yaml
529,3,5.1778,4.8765,5.2906,7.83,5.82,81,150,80.3,7.92,conveyor_1|conveyor_2|conveyor_3,sa_s529_n3.yaml
530,3,5.2225,4.9146,5.7174,14.04,5.9,83,150,66.68,8.03,conveyor_1|conveyor_3|conveyor_2,sa_s530_n3.yaml
531,3,5.4771,4.9962,5.4297,7.98,8.78,77,150,58.23,5.02,conveyor_1|conveyor_3|conveyor_2,sa_s531_n3.yaml
532,3,5.2853,4.8694,5.0394,3.37,7.87,57,150,68.95,9.83,conveyor_1|conveyor_2|conveyor_3,sa_s532_n3.yaml
533,3,5.4115,4.96,9.6511,48.61,8.34,78,150,62.78,2.34,conveyor_1|conveyor_2|conveyor_3,sa_s533_n3.yaml
534,3,6.336,4.7965,6.0728,21.02,24.3,30,150,55.55,4.64,conveyor_2|conveyor_3|conveyor_1,sa_s534_n3.yaml
535,3,5.3883,5.0865,5.594,9.07,5.6,74,150,59.25,8.78,conveyor_1|conveyor_2|conveyor_3,sa_s535_n3.yaml
536,3,5.2939,4.8261,5.3406,9.63,8.84,91,150,65.61,6.33,conveyor_2|conveyor_3|conveyor_1,sa_s536_n3.yaml
537,3,5.6689,5.0443,5.7309,11.98,11.02,81,150,44.03,8.84,conveyor_1|conveyor_3|conveyor_2,sa_s537_n3.yaml
538,3,5.2481,4.921,4.8339,-1.8,6.23,65,150,80.22,5.43,conveyor_1|conveyor_2|conveyor_3,sa_s538_n3.yaml
539,3,5.0189,4.9614,5.4698,9.29,1.14,74,150,66.2,9.01,conveyor_1|conveyor_2|conveyor_3,sa_s539_n3.yaml
540,3,5.6926,4.8806,5.4524,10.49,14.26,32,150,39.09,9.98,conveyor_1|conveyor_2|conveyor_3,sa_s540_n3.yaml
541,3,5.4171,4.9592,5.3273,6.91,8.45,81,150,77.2,7.13,conveyor_3|conveyor_2|conveyor_1,sa_s541_n3.yaml
542,3,5.3166,5.2447,5.6567,7.28,1.35,58,150,73.72,6.7,conveyor_1|conveyor_2|conveyor_3,sa_s542_n3.yaml
543,3,5.3429,4.7643,5.511,13.55,10.83,90,150,58.78,5.94,conveyor_1|conveyor_2|conveyor_3,sa_s543_n3.yaml
544,3,5.2745,4.8529,5.3092,8.59,7.99,70,150,74.08,8.17,conveyor_1|conveyor_3|conveyor_2,sa_s544_n3.yaml
545,3,5.5291,4.9821,5.3144,6.25,9.89,85,150,67.07,4.95,conveyor_1|conveyor_2|conveyor_3,sa_s545_n3.yaml
546,3,5.1917,5.0277,5.2949,5.05,3.16,61,150,58.48,9.05,conveyor_1|conveyor_2|conveyor_3,sa_s546_n3.yaml
547,3,5.802,4.9614,5.3676,7.57,14.49,93,150,57.72,10.08,conveyor_1|conveyor_2|conveyor_3,sa_s547_n3.yaml
548,3,4.99,4.666,5.8082,19.67,6.49,73,150,67.04,8.52,conveyor_1|conveyor_3|conveyor_2,sa_s548_n3.yaml
549,3,5.2949,5.0339,5.2492,4.1,4.93,71,150,2197.3,8.33,conveyor_1|conveyor_2|conveyor_3,sa_s549_n3.yaml
